#plywood
plywood,century,https://dir.indiamart.com/search.mp?ss=centuryply+block+plywood+board&prdsrc=1&src=as-rcnt%3Apos%3D1%3Acat%3D-2%3Amcat%3D-2
plywood,austin,https://dir.indiamart.com/search.mp?ss=austin+plywood+19mm&mcatid=181108&catid=209&prdsrc=1&src=as-popular%3Akwd%3Daustinpl%3Apos%3D3%3Acat%3D-2%3Amcat%3D-2
plywood,kitply,https://dir.indiamart.com/search.mp?ss=kitply+vista+mr+and+bwr+grade+plywood&src=as-default%3Akwd%3Dkitply%3Apos%3D8%3Acat%3D209%3Amcat%3D181110&prdsrc=1&mcatid=181110&catid=209
plywood,sarda,https://dir.indiamart.com/search.mp?ss=sarda+plywood&mcatid=1794&catid=209&prdsrc=1
plywood,greenply,https://dir.indiamart.com/search.mp?ss=greenply+plywood&mcatid=181112&catid=209&prdsrc=1
plywood,alishan,https://dir.indiamart.com/search.mp?ss=greenply+plywood&mcatid=181112&catid=209&prdsrc=1

#drawchannels

drawchannels,hettich,https://dir.indiamart.com/search.mp?ss=hettich+slides&mcatid=193459&catid=209&prdsrc=1&src=as-popular%3Akwd%3Dhettichs%3Apos%3D3%3Acat%3D-2%3Amcat%3D-2
drawchannels,olive,https://dir.indiamart.com/search.mp?ss=olive+telescopic+channels&mcatid=26871&catid=812&prdsrc=1&src=as-popular%3Akwd%3Dolivechannels%3Apos%3D1%3Acat%3D-2%3Amcat%3D-2


softclose_drawchannels,multibrand,https://dir.indiamart.com/search.mp?ss=olive+telescopic+channels&mcatid=26871&catid=812&prdsrc=1&src=as-popular%3Akwd%3Dolivechannels%3Apos%3D1%3Acat%3D-2%3Amcat%3D-2

#softCloseHinges

softCloseHinges,hettich,https://dir.indiamart.com/search.mp?ss=hettich%20softclose%20hinges&no_sugg=1
softCloseHinges,olive,https://dir.indiamart.com/search.mp?ss=olive%20softclose%20hinges&no_sugg=1
softCloseHinges,hafele_multiBrand,https://dir.indiamart.com/search.mp?ss=hafele%20softclose%20hinges&no_sugg=1

#wardrobeChannels
wardrobeChannels,hafele,https://dir.indiamart.com/search.mp?ss=hafele+wardrobe+channel&mcatid=73909&catid=812&prdsrc=1&src=as-popular%3Akwd%3Dwardrobechannels%3Apos%3D1%3Acat%3D-2%3Amcat%3D-2

decolam,multibrand,https://dir.indiamart.com/search.mp?ss=white+decolam+sheet&mcatid=16924&catid=209&prdsrc=1
